text,disease
yellow spots on leaves,Leaf Spot
small yellow spots on leaves,Leaf Spot
round yellow spots on leaves,Leaf Spot
brown spots on leaves,Leaf Spot
dark spots on leaf surface,Leaf Spot
leaf covered with spots,Leaf Spot
yellow patches on leaves,Leaf Spot
spotted leaves in plant,Leaf Spot

white powder on leaves,Powdery Mildew
white fungus on leaves,Powdery Mildew
powder like substance on leaves,Powdery Mildew
white dust on leaf surface,Powdery Mildew
leaves covered with white powder,Powdery Mildew
fungus growth on leaves,Powdery Mildew

leaves turning brown,Leaf Blight
dry brown patches on leaves,Leaf Blight
leaf edges turning brown,Leaf Blight
burnt brown leaves,Leaf Blight
dry leaves with brown edges,Leaf Blight

plant wilting,Fusarium Wilt
plant suddenly drying,Fusarium Wilt
leaves drooping and plant dying,Fusarium Wilt
stem turning dark and plant wilting,Fusarium Wilt
whole plant drying,Fusarium Wilt

holes in leaves,Insect Attack
small holes on leaves,Insect Attack
insects eating leaves,Insect Attack
leaf damage with holes,Insect Attack
chewed leaves in plant,Insect Attack

leaves turning yellow,Nutrient Deficiency
yellow leaves and slow growth,Nutrient Deficiency
pale yellow leaves,Nutrient Deficiency
leaf color fading,Nutrient Deficiency
plant not growing and leaves yellow,Nutrient Deficiency

leaves curling,Leaf Curl
curled leaves in plant,Leaf Curl
leaves folding and curling,Leaf Curl
twisted leaves,Leaf Curl
rolled leaves,Leaf Curl

roots rotting,Root Rot
plant dying from root rot,Root Rot
wet soil and roots rotting,Root Rot
plant falling due to root rot,Root Rot
root decay in plant,Root Rot
